category,model,avg_generation_time,avg_gpu_memory_utilization,avg_gpu_utilization,avg_virtual_memory_used
fft,gpt5_combined,9.739417419433593,,,
fft,hpc-coder_combined,3.975285082817078,43139.125655172415,0.33243966666666663,1220501.504
fft,magicoder_combined,7.699866884708404,15723.2372,0.503015145021645,1228488.704
fft,sonnet_combined,,,,
fft,starcoder_combined,54.33372047233581,31482.50573333333,0.9055738076669455,325156.8639999993
graph,gpt5_combined,9.640544607162475,,,
graph,hpc-coder_combined,3.0161491770744324,26684.461333333333,0.18209666666666666,2206818.304
graph,magicoder_combined,6.619460238933563,15263.27422222222,0.6644159206349206,-1260060.6719999998
graph,sonnet_combined,,,,
graph,starcoder_combined,51.66892747211457,31435.6532,0.9188786681704547,17061724.159999993
transform,gpt5_combined,3.665992259979248,,,
transform,hpc-coder_combined,4.629043107032776,26680.406666666666,0.5491533333333333,-86433.79199999983
transform,magicoder_combined,4.055281846523284,13680.467999999999,0.4900833333333333,-6143328.256
transform,sonnet_combined,,,,
transform,starcoder_combined,55.19539090681076,31423.771172413795,0.9298786940436694,-3677847.5519999997
scan,gpt5_combined,7.916988533973694,,,
scan,hpc-coder_combined,4.114832592964173,26853.79866666667,0.44546333333333327,1114226.688
scan,magicoder_combined,5.79888975429535,15321.5536,0.5176183333333333,-30711.807999999997
scan,sonnet_combined,,,,
scan,starcoder_combined,53.82488282442093,31470.44360798548,0.9261044942163459,-11582832.639999997
search,gpt5_combined,7.032830973625183,,,
search,hpc-coder_combined,4.093190461158753,26843.434999999998,0.45966933333333326,1874411.52
search,magicoder_combined,6.352637680053711,15079.553333333333,0.6184543585434172,-5333663.744
search,sonnet_combined,,,,
search,starcoder_combined,54.08084205818177,31422.583172413793,0.9288545632287883,2828763.136000005
sort,gpt5_combined,7.7955530033111575,,,
sort,hpc-coder_combined,4.697677813053131,26900.328,0.5606073333333332,311476.2239999998
sort,magicoder_combined,5.219440711021423,15408.840784313725,0.5731579327731092,-1483366.4
sort,sonnet_combined,,,,
sort,starcoder_combined,53.3233589053154,31478.485733333335,0.9248107474464373,-8675237.888
stencil,gpt5_combined,6.766804746627808,,,
stencil,hpc-coder_combined,3.7339420318603516,42232.45670967742,0.16401083870967742,1143644.1600000001
stencil,magicoder_combined,9.91698371553421,15993.316444444445,0.44637153968253973,313720.83200000005
stencil,sonnet_combined,,,,
stencil,starcoder_combined,56.098834976196294,31528.266266666666,0.9346155398921565,1263730.6879999998
locking_contention,gpt5_combined,17.90252716255188,,,
locking_contention,hpc-coder_combined,9.929810801029205,32100.935361220043,0.6269606891085809,3751739.392
locking_contention,magicoder_combined,10.948097222805023,16927.10857660819,0.7336880486063644,-1056792.576
locking_contention,sonnet_combined,,,,
locking_contention,starcoder_combined,55.55317066049575,31580.617856410256,0.933535030098208,-207632220.16000003
la,gpt5_combined,11.897120569229127,,,
la,hpc-coder_combined,7.3331253790855415,42483.645723809524,0.5495595052910053,-960933.888000001
la,magicoder_combined,7.514272506475448,16183.065444444446,0.6739225714285715,15377604.608000001
la,sonnet_combined,,,,
la,starcoder_combined,52.842199400186544,31471.327310344826,0.9201024629396063,-413409.28000000044
reduce,gpt5_combined,5.917150543212891,,,
reduce,hpc-coder_combined,3.520083546161652,26582.232,0.46464999999999995,441401.34400000033
reduce,magicoder_combined,5.317637359619141,15381.319555555554,0.506346111111111,-3444490.2399999998
reduce,sonnet_combined,,,,
reduce,starcoder_combined,51.78605679845809,31424.140197044333,0.9266604476788579,-13179256.832000002
histogram,gpt5_combined,7.856211587905884,,,
histogram,hpc-coder_combined,5.170322670936585,44341.45613793103,0.5700405747126437,1074700.2880000002
histogram,magicoder_combined,5.983994247913361,13811.645999999999,0.49258766666666665,1139580.9279999998
histogram,sonnet_combined,,,,
histogram,starcoder_combined,55.01666050577164,31469.276413793104,0.9283181437180043,1108402.176
geometry,gpt5_combined,7.980802124023438,,,
geometry,hpc-coder_combined,7.024467738628388,40049.765044444444,0.6181053968253968,1151393.792
geometry,magicoder_combined,7.389756735324861,16217.480753846152,0.5012240946275945,-1897046.016
geometry,sonnet_combined,,,,
geometry,starcoder_combined,51.53695338392258,31478.46973333333,0.920005875310105,3548864.5119999996
